id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
28315423,Charming cottage w/ rooftop deck by Adams Ave,8778168,Margaret,,Normal Heights,32.76529,-117.11349,Entire home/apt,142,2,142,2022-05-29,3.21,3,135,46,
27608990,Giant 7BD/6BA South Mission Beach House,206685726,Andrew,,Mission Bay,32.76338,-117.25102,Entire home/apt,2485,4,12,2022-01-22,0.27,3,138,1,
28348014,#2 Relax by Sorrento Valley/Mira Mesa Business,211877039,Kirk & Ruth,,Mira Mesa,32.92951,-117.13424,Private room,65,2,113,2022-05-24,2.47,3,359,29,
28682213,Comfortable Beach get away home,215746618,Shawn,,Loma Portal,32.74606,-117.24607,Entire home/apt,153,15,60,2022-05-06,1.33,21,90,5,
27615481,Charming Home in North Park w/parking,7836142,Nikki,,North Hills,32.75151,-117.13007,Entire home/apt,185,1,209,2022-06-11,4.51,3,42,92,
28349156,Self Checkin APT A checkout No contact,38196811,Jo,,East Village,32.71212,-117.15928,Entire home/apt,211,3,120,2022-06-06,2.71,6,246,33,
27631687,Your San Diego Choice,157069419,Babs,,Mountain View,32.69503,-117.10225,Private room,45,1,26,2019-09-30,0.57,3,0,0,
28358153,2500 sq/ft  Townhome with City & Harbor Views,9911024,Iosef,,Park West,32.72844,-117.16768,Entire home/apt,750,2,38,2022-06-06,0.84,4,161,2,
28688405,The Seashell - OCEANFRONT home away from home!,142682809,Matthew,,Pacific Beach,32.80056,-117.25719,Entire home/apt,345,3,110,2022-06-06,2.48,6,280,35,
28691311,(42- [STO) · Central Gaslamp District Studio on 5th Ave,94209119,Charlena & Andrew,,Marina,32.71137,-117.16173,Entire home/apt,109,1,70,2020-01-07,1.58,3,0,0,
27632106,Del Mar Highlands Junior Suite,93217648,Diane,,Carmel Valley,32.95004,-117.22467,Private room,50,30,4,2019-08-18,0.09,3,287,0,
27635927,TRAVEL NURSE FRIENDLY (I was one) North Park Condo,53343378,Charles,,North Hills,32.74685,-117.13573,Private room,90,10,5,2020-10-03,0.11,3,286,0,
28691337,(41 - [1BR) · Gaslamp District 5th Avenue 1-BR Apt **Sleeps 4**,94209119,Charlena & Andrew,,Marina,32.71141,-117.16356,Entire home/apt,149,1,5,2019-09-22,0.14,3,0,0,
28693411,Serenity's Haven San Diego,216461384,Charline,,Bay Terrace,32.70324,-117.04235,Entire home/apt,145,2,19,2022-05-15,0.44,1,127,5,
